,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,track number
acousticness,1.0,0.0700167583397734,-0.3638186178622063,0.06140297001975592,-0.11773916798250836,-0.23708283200491945,-0.021773763820177032,-0.17100307211740973,-0.13880258012740157,0.10804570829964645,0.03912834181543463,-0.035675475683014844
danceability,0.0700167583397734,1.0,-0.30053609035883927,-0.03181241289647353,-0.516386752205545,-0.24940556811021578,-0.3226835205920588,-0.32439755178842306,0.5462096995251218,0.14120463769505612,-0.220045128007675,-0.11200352073088826
energy,-0.3638186178622063,-0.30053609035883927,1.0,0.12026148532945383,0.5111879867448728,0.6980390870508646,0.41721400643755174,0.20188514374199695,0.046216795721406044,-0.057271967588872714,0.14887632352135322,0.09631364797430018
instrumentalness,0.06140297001975592,-0.03181241289647353,0.12026148532945383,1.0,0.008873060061943692,0.012523902733169272,0.009585932658411001,0.010961201997829646,0.10347986581463565,-0.010611506119047077,-0.1375988658960453,-0.0027716592782214785
liveness,-0.11773916798250836,-0.516386752205545,0.5111879867448728,0.008873060061943692,1.0,0.327036220292272,0.40001837431653603,0.10885470990913333,-0.3474512533071759,-0.20584532631215535,0.30473519808766536,0.18835080735712315
loudness,-0.23708283200491945,-0.24940556811021578,0.6980390870508646,0.012523902733169272,0.327036220292272,1.0,0.18990365594893738,0.11283718359943108,-0.027570771272111445,0.1563227266811614,0.22155803230015658,0.10083450984442287
speechiness,-0.021773763820177032,-0.3226835205920588,0.41721400643755174,0.009585932658411001,0.40001837431653603,0.18990365594893738,1.0,0.1926873121964952,-0.39975074212627093,-0.13674463591980546,0.11454578430855679,0.040617167070017425
tempo,-0.17100307211740973,-0.32439755178842306,0.20188514374199695,0.010961201997829646,0.10885470990913333,0.11283718359943108,0.1926873121964952,1.0,0.0005584657917042679,-0.061061113091405404,0.0014648060447924392,-0.02393416301209775
valence,-0.13880258012740157,0.5462096995251218,0.046216795721406044,0.10347986581463565,-0.3474512533071759,-0.027570771272111445,-0.39975074212627093,0.0005584657917042679,1.0,0.06533303330967447,-0.24483262104591297,-0.10456711073091784
popularity,0.10804570829964645,0.14120463769505612,-0.057271967588872714,-0.010611506119047077,-0.20584532631215535,0.1563227266811614,-0.13674463591980546,-0.061061113091405404,0.06533303330967447,1.0,0.074101855109022,-0.14511461325640634
duration_ms,0.03912834181543463,-0.220045128007675,0.14887632352135322,-0.1375988658960453,0.30473519808766536,0.22155803230015658,0.11454578430855679,0.0014648060447924392,-0.24483262104591297,0.074101855109022,1.0,0.15645523704782893
track number,-0.035675475683014844,-0.11200352073088826,0.09631364797430018,-0.0027716592782214785,0.18835080735712315,0.10083450984442287,0.040617167070017425,-0.02393416301209775,-0.10456711073091784,-0.14511461325640634,0.15645523704782893,1.0
